"","1","2","3","4","5","6","7","8","9","10","11","12"
"evap",10.19,14.4733333333333,31.4566666666667,51.5433333333333,59.7533333333333,59.6233333333333,65.3733333333333,52.41,33.6233333333333,19.8766666666667,10.2066666666667,7.62333333333333
"precip",55.2387096774194,43.0129032258065,43.4741935483871,34.8548387096774,46.5354838709677,59.2733333333333,73.7387096774194,67.4612903225807,53.3129032258065,50.97,49.1161290322581,56.141935483871
"temp",3.42451612903226,4.60193548387097,8.26645161290323,13.7903225806452,18.1364516129032,20.928064516129,23.2567741935484,23.0687096774194,18.6770967741935,13.2456666666667,7.45258064516129,4.15354838709677
