"","X","profile_id","upper_depth","latitude","longitude","dsds","profile_layer_id","lower_depth","layer_name","sand_value_avg","silt_value_avg","clay_value_avg","bdfiod_value_avg","bdfiod_method","orgc_value_avg","totc_value_avg","orgc_sd","cstock_t.ha","landcover"
"282",4111,607331,0,38.09555054,-8.11946774,140,3112148,15,NA,NA,16.9,8.2,NA,NA,1.15333333333333,NA,0.676486018579345,22.5059352856463,"Tree cover"
"283",4147,607332,0,37.06880188,-8.90193653,95,3112154,25,NA,NA,11.2,7.6,NA,NA,1.145,NA,0.558614357137373,37.263186063828,"Cropland"
"284",4156,607333,0,37.77960968,-7.83516121,110,3112157,25,NA,NA,14.2,7.7,NA,NA,2.34,NA,0.933380951166243,68.6087441071376,"Grassland"
"285",4172,607334,0,38.36006165,-7.99109602,80,3112161,20,NA,NA,14.5,6.2,NA,NA,2.16,NA,1.7819090885901,51.9106803559899,"Grassland"
"287",4197,607336,0,38.11590958,-7.964993,105,3112168,17,NA,NA,20,8.5,NA,NA,0.553333333333333,NA,0.170977581376429,12.6972980574682,"Tree cover"
"288",4213,607337,0,37.97040176,-7.56813192,80,3112172,15,NA,NA,48.3,25.1,NA,NA,1.98666666666667,NA,1.20558422904969,32.5712386566988,"Tree cover"
"289",4229,607338,0,38.09381104,-7.40996599,150,3112176,30,NA,NA,17,8.5,NA,NA,0.693333333333333,NA,0.228983259941275,27.3777836020971,"Grassland"
"290",4265,607339,0,38.73807907,-8.02375126,110,3112182,27,NA,NA,23.6,23.7,NA,NA,1.41666666666667,NA,1.43388748977503,44.942316857777,"Grassland"
"291",4281,607340,0,38.14522171,-7.97106314,115,3112186,20,NA,NA,7.6,6,NA,NA,4.57333333333333,NA,1.97216463139702,93.9446564775517,"Grassland"
"293",4315,607342,0,37.73104858,-8.79034138,60,3112194,15,NA,NA,29.2,13.9,NA,NA,2.38666666666667,NA,1.70153851949738,40.4100482266011,"Grassland"
"295",4328,607344,0,38.56880951,-8.87849712,65,3112199,30,NA,NA,13.8,6.5,NA,NA,2.3,NA,1.31521861300698,81.0317378034343,"Grassland"
"297",4341,607346,0,38.15710068,-7.93078899,45,3112204,25,NA,NA,9.2,6,NA,NA,0.78,NA,0.381837661840736,26.4898624466466,"Grassland"
"57",1166,607106,0,38.98749161,-9.16285229,60,3111383,25,NA,NA,23.9,7.7,NA,NA,1.345,NA,1.01116269709676,41.5046345256711,"Grassland"
"59",1179,607108,0,38.85049057,-9.2875452,120,3111388,30,NA,NA,19.2,7.3,NA,NA,2.335,NA,1.02530483272049,80.7154291091806,"Grassland"
"79",1470,607128,0,38.70512009,-9.3153553,25,3111461,25,NA,NA,22.1,14,NA,NA,1.42,NA,NA,43.0358238907443,"Grassland"
"80",1471,607129,0,38.70544052,-9.31722736,65,3111462,25,NA,NA,20.4,16,NA,NA,0.893333333333333,NA,0.597689997685534,28.207127377094,"Grassland"
"81",1480,607130,0,38.70674133,-9.31545258,105,3111465,15,NA,NA,17.5,13.3,NA,NA,0.816666666666667,NA,0.870019156877211,16.1341774168438,"Grassland"
"82",1496,607131,0,38.70687866,-9.31628609,20,3111469,20,NA,NA,27.6,7.7,NA,NA,3.4,NA,NA,72.0572382602694,"Grassland"
"83",1497,607132,0,38.70640945,-9.31441402,110,3111470,25,NA,NA,13.2,10.9,NA,NA,0.493333333333333,NA,0.511598801145325,16.7067462559719,"Grassland"
"90",1602,607139,0,38.70222855,-9.31554985,45,3111497,30,NA,NA,11,4,NA,NA,0.67,NA,0.43840620433566,27.4020554077941,"Grassland"
"93",1614,607142,0,38.67573166,-9.18100166,80,3111503,25,NA,NA,9.6,6.9,NA,NA,0.253333333333333,NA,0.0680685928555405,8.98396001363257,"Grassland"
"104",1814,607153,0,38.70325089,-9.32186413,180,3111549,23,NA,NA,20.6,5,NA,NA,0.503333333333333,NA,0.299054064231425,15.6465812292478,"Grassland"
